"dag","exposure","effect","name","model","exposure.name"
"dag_24","sc_temp","total","dag_24-sc_temp-total","total_effect_temperature_with_rain_24","Temperature"
"dag_48","sc_temp","total","dag_48-sc_temp-total","total_effect_temperature_with_rain_48","Temperature"
"dag_24","sc_HR","total","dag_24-sc_HR-total","total_effect_humidity_with_rain_24","Relative humidity"
"dag_48","sc_HR","total","dag_48-sc_HR-total","total_effect_humidity_with_rain_48","Relative humidity"
"dag_24","sc_moonlight","total","dag_24-sc_moonlight-total","total_effect_moon_with_rain_24","Moonlight"
"dag_48","sc_moonlight","total","dag_48-sc_moonlight-total","total_effect_moon_with_rain_48","Moonlight"
"dag_24","sc_rain","total","dag_24-sc_rain-total","total_effect_rain_with_rain_24","Current rain"
"dag_48","sc_rain","total","dag_48-sc_rain-total","total_effect_rain_with_rain_48","Current rain"
"dag_24","sc_rain_24","total","dag_24-sc_rain_24-total","total_effect_previous_rain_24","Previous rain (24h)"
"dag_48","sc_rain_48","total","dag_48-sc_rain_48-total","total_effect_previous_rain_48","Previous rain (48h)"
"dag_24","sc_temp","direct","dag_24-sc_temp-direct","n-call-resp-rate-rec-time-sc-temp-sc-HR-sc-rain-sc-rain-24-ar-p-2-time-hour-diff-gr-hour","Temperature"
"dag_48","sc_temp","direct","dag_48-sc_temp-direct","n-call-resp-rate-rec-time-sc-temp-sc-HR-sc-rain-sc-rain-48-ar-p-2-time-hour-diff-gr-hour","Temperature"
"dag_24","sc_HR","direct","dag_24-sc_HR-direct","n-call-resp-rate-rec-time-sc-HR-sc-rain-sc-rain-24-sc-temp-ar-p-2-time-hour-diff-gr-hour","Relative humidity"
"dag_48","sc_HR","direct","dag_48-sc_HR-direct","n-call-resp-rate-rec-time-sc-HR-sc-rain-sc-rain-48-sc-temp-ar-p-2-time-hour-diff-gr-hour","Relative humidity"
"dag_24","sc_moonlight","direct","dag_24-sc_moonlight-direct","n-call-resp-rate-rec-time-sc-moonlight-ar-p-2-time-hour-diff-gr-hour","Moonlight"
"dag_48","sc_moonlight","direct","dag_48-sc_moonlight-direct","n-call-resp-rate-rec-time-sc-moonlight-ar-p-2-time-hour-diff-gr-hour","Moonlight"
"dag_24","sc_rain","direct","dag_24-sc_rain-direct","n-call-resp-rate-rec-time-sc-rain-sc-HR-sc-rain-24-sc-temp-ar-p-2-time-hour-diff-gr-hour","Current rain"
"dag_48","sc_rain","direct","dag_48-sc_rain-direct","n-call-resp-rate-rec-time-sc-rain-sc-HR-sc-rain-48-sc-temp-ar-p-2-time-hour-diff-gr-hour","Current rain"
"dag_24","sc_rain_24","direct","dag_24-sc_rain_24-direct","n-call-resp-rate-rec-time-sc-rain-24-sc-HR-sc-rain-sc-temp-ar-p-2-time-hour-diff-gr-hour","Previous rain (24h)"
"dag_48","sc_rain_48","direct","dag_48-sc_rain_48-direct","n-call-resp-rate-rec-time-sc-rain-48-sc-HR-sc-rain-sc-temp-ar-p-2-time-hour-diff-gr-hour","Previous rain (48h)"
